id,company_id,code,name,un_ece_code,table_code,description,value
pe_le_presentacion_00,,00,Sin Indicador,,PE.LE.PRESENTACION,,
pe_le_presentacion_01,,01,Al 31 de diciembre,,PE.LE.PRESENTACION,,
pe_le_presentacion_02,,02,"Al 31 de enero, por modificación del porcentaje",,PE.LE.PRESENTACION,,
pe_le_presentacion_03,,03,"Al 30 de junio, por modificación del coeficiente o porcentaje",,PE.LE.PRESENTACION,,
pe_le_presentacion_04,,04,Al último día del mes que sustentará la suspensión o modificación del coeficiente,,PE.LE.PRESENTACION,Al último día del mes que sustentará la suspensión o modificación del coeficiente (distinto al 31 de enero o 30 de junio),
pe_le_presentacion_05,,05,Al día anterior a la entrada en vigencia de la fusión,,PE.LE.PRESENTACION,"Al día anterior a la entrada en vigencia de la fusión, escisión y demás formas de reorganización de sociedades o empresas o extinción de la persona jurídica",
pe_le_presentacion_06,,06,"A la fecha del balance de liquidación, cierre o cese definitivo del deudor tributario",,PE.LE.PRESENTACION,,
pe_le_presentacion_07,,07,A la fecha de presentación para libre propósito,,PE.LE.PRESENTACION,,
pe_le_operaciones0,,0,Cierre de operaciones - baja de inscripción en el RUC,,PE.LE.OPERACIONES,,
pe_le_operaciones1,,1,Empresa o entidad operativa,,PE.LE.OPERACIONES,,
pe_le_operaciones2,,2,Cierre del libro - no obligado a llevarlo,,PE.LE.OPERACIONES,,
pe_le_indicador1,,1,Con información,,PE.LE.INDICADOR,,
pe_le_indicador0,,0,Sin información,,PE.LE.INDICADOR,,
pe_le_moneda1,,1,Soles,,PE.LE.MONEDA,,
pe_le_moneda2,,2,US dólares,,PE.LE.MONEDA,,
